Job_Title,Experience,Skills,Education,Language,Soft_Skills,Full_Description
E-commerce Customer Service Specialist,3+ years,"Zapier, Amazon Seller Central, Customer Service, Return Handling, Inventory Management","Bachelor's degree in Business, Marketing or related",Good written English,Strong communication and time management skills,"E-commerce Customer Service Specialist with 3+ years experience required. Skills needed: Zapier, Amazon Seller Central, Customer Service, Return Handling, Inventory Management. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,2+ years,"Excel, CRM Tools, Zapier","Bachelor's degree in Business, Marketing or related",Good written English,Problem-solving and customer-first mindset,"E-commerce Customer Service Specialist with 2+ years experience required. Skills needed: Excel, CRM Tools, Zapier. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Content Writer (E-commerce),2+ years,"Shopify, SEO, Customer Service",High School diploma,Fluent English,Strong communication and time management skills,"Content Writer (E-commerce) with 2+ years experience required. Skills needed: Shopify, SEO, Customer Service. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Inventory Analyst,2+ years,"Inventory Management, SEO, CRM Tools, Google Ads","Bachelor's degree in Business, Marketing or related",Good written English,Problem-solving and customer-first mindset,"Inventory Analyst with 2+ years experience required. Skills needed: Inventory Management, SEO, CRM Tools, Google Ads. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Product Listing Manager,No experience but strong motivation,"Social Media Marketing, Inventory Management, Return Handling",Diploma in E-commerce or IT,Good written English,Problem-solving and customer-first mindset,"Product Listing Manager with No experience but strong motivation experience required. Skills needed: Social Media Marketing, Inventory Management, Return Handling. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,3+ years,"Order Management, Excel, Zapier, Copywriting, CRM Tools",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Digital Marketing Assistant with 3+ years experience required. Skills needed: Order Management, Excel, Zapier, Copywriting, CRM Tools. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Marketplace Account Executive,3+ years,"Zapier, Order Management, Excel, SEO, Copywriting",High School diploma,Fluent English,Attention to detail and teamwork,"Marketplace Account Executive with 3+ years experience required. Skills needed: Zapier, Order Management, Excel, SEO, Copywriting. Education: High School diploma. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,3+ years,"Zapier, Amazon Seller Central, SEO, Order Management, Shopify",Diploma in E-commerce or IT,Good written English,Problem-solving and customer-first mindset,"Email Campaign Assistant with 3+ years experience required. Skills needed: Zapier, Amazon Seller Central, SEO, Order Management, Shopify. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Logistics Coordinator,3+ years,"Social Media Marketing, Zapier, Excel, Google Ads, Shopify, Copywriting",High School diploma,Multilingual preferred,Strong communication and time management skills,"Logistics Coordinator with 3+ years experience required. Skills needed: Social Media Marketing, Zapier, Excel, Google Ads, Shopify, Copywriting. Education: High School diploma. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Digital Marketing Assistant,No experience but strong motivation,"Social Media Marketing, Zapier, Amazon Seller Central",Diploma in E-commerce or IT,Good written English,Problem-solving and customer-first mindset,"Digital Marketing Assistant with No experience but strong motivation experience required. Skills needed: Social Media Marketing, Zapier, Amazon Seller Central. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,No experience but strong motivation,"Amazon Seller Central, Inventory Management, Copywriting, Shopify, Zapier, Social Media Marketing",Diploma in E-commerce or IT,Multilingual preferred,Strong communication and time management skills,"Inventory Analyst with No experience but strong motivation experience required. Skills needed: Amazon Seller Central, Inventory Management, Copywriting, Shopify, Zapier, Social Media Marketing. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Inventory Analyst,3+ years,"Customer Service, Return Handling, Zapier, Inventory Management, Amazon Seller Central, Google Ads","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Attention to detail and teamwork,"Inventory Analyst with 3+ years experience required. Skills needed: Customer Service, Return Handling, Zapier, Inventory Management, Amazon Seller Central, Google Ads. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Product Listing Manager,1+ years,"Copywriting, SEO, Social Media Marketing",Diploma in E-commerce or IT,Multilingual preferred,Strong communication and time management skills,"Product Listing Manager with 1+ years experience required. Skills needed: Copywriting, SEO, Social Media Marketing. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Product Listing Manager,3+ years,"Copywriting, Excel, Social Media Marketing, Product Description Writing, SEO","Bachelor's degree in Business, Marketing or related",Fluent English,Attention to detail and teamwork,"Product Listing Manager with 3+ years experience required. Skills needed: Copywriting, Excel, Social Media Marketing, Product Description Writing, SEO. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,3+ years,"Google Ads, Social Media Marketing, Inventory Management, Order Management, CRM Tools","Bachelor's degree in Business, Marketing or related",Fluent English,Attention to detail and teamwork,"Logistics Coordinator with 3+ years experience required. Skills needed: Google Ads, Social Media Marketing, Inventory Management, Order Management, CRM Tools. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Digital Marketing Assistant,No experience but strong motivation,"Google Ads, Shopify, Order Management, Social Media Marketing, Product Description Writing, Copywriting",High School diploma,Multilingual preferred,Problem-solving and customer-first mindset,"Digital Marketing Assistant with No experience but strong motivation experience required. Skills needed: Google Ads, Shopify, Order Management, Social Media Marketing, Product Description Writing, Copywriting. Education: High School diploma. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Content Writer (E-commerce),1+ years,"Amazon Seller Central, Excel, SEO, CRM Tools, Return Handling","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with 1+ years experience required. Skills needed: Amazon Seller Central, Excel, SEO, CRM Tools, Return Handling. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Content Writer (E-commerce),1+ years,"Google Ads, CRM Tools, Zapier","Bachelor's degree in Business, Marketing or related",Fluent English,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with 1+ years experience required. Skills needed: Google Ads, CRM Tools, Zapier. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Email Campaign Assistant,No experience but strong motivation,"Customer Service, Inventory Management, Order Management, Return Handling, Amazon Seller Central, Shopify","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Email Campaign Assistant with No experience but strong motivation experience required. Skills needed: Customer Service, Inventory Management, Order Management, Return Handling, Amazon Seller Central, Shopify. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,No experience but strong motivation,"Customer Service, Zapier, Social Media Marketing, Excel","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Strong communication and time management skills,"Email Campaign Assistant with No experience but strong motivation experience required. Skills needed: Customer Service, Zapier, Social Media Marketing, Excel. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Order Fulfillment Associate,No experience but strong motivation,"Inventory Management, Return Handling, Customer Service",High School diploma,Good written English,Problem-solving and customer-first mindset,"Order Fulfillment Associate with No experience but strong motivation experience required. Skills needed: Inventory Management, Return Handling, Customer Service. Education: High School diploma. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,3+ years,"Excel, Shopify, Return Handling, Inventory Management",High School diploma,Good written English,Problem-solving and customer-first mindset,"Digital Marketing Assistant with 3+ years experience required. Skills needed: Excel, Shopify, Return Handling, Inventory Management. Education: High School diploma. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,2+ years,"Excel, SEO, Google Ads",High School diploma,Multilingual preferred,Attention to detail and teamwork,"Inventory Analyst with 2+ years experience required. Skills needed: Excel, SEO, Google Ads. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Order Fulfillment Associate,No experience but strong motivation,"Copywriting, Excel, Order Management, Product Description Writing, Google Ads, Return Handling","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Attention to detail and teamwork,"Order Fulfillment Associate with No experience but strong motivation experience required. Skills needed: Copywriting, Excel, Order Management, Product Description Writing, Google Ads, Return Handling. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Order Fulfillment Associate,2+ years,"Inventory Management, Copywriting, Order Management, Social Media Marketing, Return Handling, Amazon Seller Central",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"Order Fulfillment Associate with 2+ years experience required. Skills needed: Inventory Management, Copywriting, Order Management, Social Media Marketing, Return Handling, Amazon Seller Central. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Digital Marketing Assistant,2+ years,"Zapier, Inventory Management, Customer Service, CRM Tools","Bachelor's degree in Business, Marketing or related",Fluent English,Strong communication and time management skills,"Digital Marketing Assistant with 2+ years experience required. Skills needed: Zapier, Inventory Management, Customer Service, CRM Tools. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Strong communication and time management skills."
Inventory Analyst,3+ years,"Social Media Marketing, Google Ads, Zapier, Copywriting, Customer Service, Amazon Seller Central",High School diploma,Fluent English,Attention to detail and teamwork,"Inventory Analyst with 3+ years experience required. Skills needed: Social Media Marketing, Google Ads, Zapier, Copywriting, Customer Service, Amazon Seller Central. Education: High School diploma. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,1+ years,"SEO, Excel, Inventory Management",Diploma in E-commerce or IT,Multilingual preferred,Problem-solving and customer-first mindset,"Email Campaign Assistant with 1+ years experience required. Skills needed: SEO, Excel, Inventory Management. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Email Campaign Assistant,3+ years,"Google Ads, Product Description Writing, CRM Tools, Inventory Management",High School diploma,Multilingual preferred,Problem-solving and customer-first mindset,"Email Campaign Assistant with 3+ years experience required. Skills needed: Google Ads, Product Description Writing, CRM Tools, Inventory Management. Education: High School diploma. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,No experience but strong motivation,"Copywriting, Customer Service, Google Ads, Product Description Writing, CRM Tools, SEO",High School diploma,Fluent English,Attention to detail and teamwork,"Digital Marketing Assistant with No experience but strong motivation experience required. Skills needed: Copywriting, Customer Service, Google Ads, Product Description Writing, CRM Tools, SEO. Education: High School diploma. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Digital Marketing Assistant,No experience but strong motivation,"Zapier, Copywriting, Inventory Management, Social Media Marketing","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Digital Marketing Assistant with No experience but strong motivation experience required. Skills needed: Zapier, Copywriting, Inventory Management, Social Media Marketing. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Content Writer (E-commerce),2+ years,"Social Media Marketing, SEO, Amazon Seller Central, Order Management",High School diploma,Good written English,Attention to detail and teamwork,"Content Writer (E-commerce) with 2+ years experience required. Skills needed: Social Media Marketing, SEO, Amazon Seller Central, Order Management. Education: High School diploma. Language: Good written English. Soft skills: Attention to detail and teamwork."
Product Listing Manager,2+ years,"Copywriting, Amazon Seller Central, Google Ads, Customer Service",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"Product Listing Manager with 2+ years experience required. Skills needed: Copywriting, Amazon Seller Central, Google Ads, Customer Service. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Content Writer (E-commerce),No experience but strong motivation,"Zapier, Excel, Inventory Management, Customer Service, Order Management",High School diploma,Good written English,Attention to detail and teamwork,"Content Writer (E-commerce) with No experience but strong motivation experience required. Skills needed: Zapier, Excel, Inventory Management, Customer Service, Order Management. Education: High School diploma. Language: Good written English. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,2+ years,"Product Description Writing, Return Handling, Order Management, Shopify, CRM Tools, Copywriting",High School diploma,Good written English,Attention to detail and teamwork,"Marketplace Account Executive with 2+ years experience required. Skills needed: Product Description Writing, Return Handling, Order Management, Shopify, CRM Tools, Copywriting. Education: High School diploma. Language: Good written English. Soft skills: Attention to detail and teamwork."
Inventory Analyst,3+ years,"Customer Service, Amazon Seller Central, Social Media Marketing, Zapier","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Inventory Analyst with 3+ years experience required. Skills needed: Customer Service, Amazon Seller Central, Social Media Marketing, Zapier. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Digital Marketing Assistant,No experience but strong motivation,"Copywriting, CRM Tools, Customer Service, Social Media Marketing, Product Description Writing",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"Digital Marketing Assistant with No experience but strong motivation experience required. Skills needed: Copywriting, CRM Tools, Customer Service, Social Media Marketing, Product Description Writing. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,3+ years,"Product Description Writing, Inventory Management, SEO","Bachelor's degree in Business, Marketing or related",Fluent English,Attention to detail and teamwork,"E-commerce Customer Service Specialist with 3+ years experience required. Skills needed: Product Description Writing, Inventory Management, SEO. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Product Listing Manager,1+ years,"Amazon Seller Central, Excel, Shopify, Inventory Management, Customer Service, Zapier",Diploma in E-commerce or IT,Fluent English,Problem-solving and customer-first mindset,"Product Listing Manager with 1+ years experience required. Skills needed: Amazon Seller Central, Excel, Shopify, Inventory Management, Customer Service, Zapier. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Email Campaign Assistant,1+ years,"Zapier, Copywriting, Product Description Writing",Diploma in E-commerce or IT,Multilingual preferred,Problem-solving and customer-first mindset,"Email Campaign Assistant with 1+ years experience required. Skills needed: Zapier, Copywriting, Product Description Writing. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Email Campaign Assistant,No experience but strong motivation,"Excel, Zapier, CRM Tools, Customer Service",High School diploma,Fluent English,Strong communication and time management skills,"Email Campaign Assistant with No experience but strong motivation experience required. Skills needed: Excel, Zapier, CRM Tools, Customer Service. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Email Campaign Assistant,No experience but strong motivation,"Shopify, Amazon Seller Central, CRM Tools, Order Management",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"Email Campaign Assistant with No experience but strong motivation experience required. Skills needed: Shopify, Amazon Seller Central, CRM Tools, Order Management. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,3+ years,"Order Management, Copywriting, Social Media Marketing, Excel",High School diploma,Good written English,Attention to detail and teamwork,"Logistics Coordinator with 3+ years experience required. Skills needed: Order Management, Copywriting, Social Media Marketing, Excel. Education: High School diploma. Language: Good written English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,3+ years,"CRM Tools, Copywriting, Shopify, Return Handling, Amazon Seller Central, Inventory Management",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"Logistics Coordinator with 3+ years experience required. Skills needed: CRM Tools, Copywriting, Shopify, Return Handling, Amazon Seller Central, Inventory Management. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,3+ years,"Shopify, Product Description Writing, Order Management, Customer Service, Zapier, CRM Tools","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Logistics Coordinator with 3+ years experience required. Skills needed: Shopify, Product Description Writing, Order Management, Customer Service, Zapier, CRM Tools. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,No experience but strong motivation,"Social Media Marketing, Zapier, Amazon Seller Central, Google Ads",Diploma in E-commerce or IT,Good written English,Strong communication and time management skills,"Marketplace Account Executive with No experience but strong motivation experience required. Skills needed: Social Media Marketing, Zapier, Amazon Seller Central, Google Ads. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Strong communication and time management skills."
Logistics Coordinator,2+ years,"Order Management, Copywriting, Zapier",High School diploma,Fluent English,Attention to detail and teamwork,"Logistics Coordinator with 2+ years experience required. Skills needed: Order Management, Copywriting, Zapier. Education: High School diploma. Language: Fluent English. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,1+ years,"SEO, Shopify, Copywriting, Order Management, Excel, Product Description Writing","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"E-commerce Customer Service Specialist with 1+ years experience required. Skills needed: SEO, Shopify, Copywriting, Order Management, Excel, Product Description Writing. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Product Listing Manager,No experience but strong motivation,"Shopify, Copywriting, Customer Service",High School diploma,Fluent English,Attention to detail and teamwork,"Product Listing Manager with No experience but strong motivation experience required. Skills needed: Shopify, Copywriting, Customer Service. Education: High School diploma. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Order Fulfillment Associate,1+ years,"Product Description Writing, Customer Service, Inventory Management",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"Order Fulfillment Associate with 1+ years experience required. Skills needed: Product Description Writing, Customer Service, Inventory Management. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,2+ years,"Google Ads, Product Description Writing, Customer Service, SEO","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Attention to detail and teamwork,"Marketplace Account Executive with 2+ years experience required. Skills needed: Google Ads, Product Description Writing, Customer Service, SEO. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,2+ years,"CRM Tools, Customer Service, Order Management, Return Handling, Zapier",Diploma in E-commerce or IT,Fluent English,Problem-solving and customer-first mindset,"E-commerce Customer Service Specialist with 2+ years experience required. Skills needed: CRM Tools, Customer Service, Order Management, Return Handling, Zapier. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
